customer_id,email_open_rate,push_notification_ctr,customer_service_tickets,return_rate,nps_score,delivery_rating,cart_abandonment_count,days_since_last_purchase
C11223,0.146,0.025,1,0.0,6.0,,2,46
C11224,0.158,0.03,2,0.0,8.0,3.7,5,23
C11225,0.109,0.089,1,0.066,,4.5,2,83
C11226,0.147,0.063,2,0.044,,5.0,5,4
C11227,0.316,0.0,5,0.138,,3.5,2,2
C11228,0.207,0.111,0,0.149,7.0,3.6,1,35
C11229,0.206,0.008,4,0.027,,3.5,3,33
C11230,0.288,0.08,2,0.082,,3.8,1,40
C11231,0.243,0.094,4,0.146,6.0,4.8,1,28
C11232,0.172,0.021,1,0.188,,,10,122
C11233,0.3,0.082,1,0.073,,3.8,1,52
C11234,0.098,0.012,2,0.138,4.0,4.6,4,122
C11235,0.397,0.072,0,0.0,5.0,3.3,0,17
C11236,0.154,0.094,0,0.171,,4.9,3,44
C11237,0.276,0.037,0,0.016,8.0,4.1,1,0
C11238,0.084,0.025,2,0.134,3.0,,8,105
C11239,0.283,0.083,1,0.062,,,4,17
C11240,0.039,0.024,2,0.107,,3.6,5,267
C11241,0.277,0.087,0,0.124,,4.7,2,17
C11242,0.094,0.072,0,0.0,7.0,,1,0
C11243,0.087,0.031,0,0.315,,,11,151
C11244,0.05,0.008,2,0.357,,,3,137
C11245,0.197,0.094,2,0.154,8.0,4.5,0,23
C11246,0.141,0.084,1,0.063,8.0,3.5,4,53
C11247,0.234,0.152,0,0.024,7.0,3.5,0,67
C11248,0.154,0.081,1,0.108,5.0,5.0,5,1
C11249,0.042,0.04,0,0.176,6.0,2.3,8,125
C11250,0.279,0.111,1,0.143,,2.5,4,20
C11251,0.269,0.083,0,0.046,7.0,,2,75
C11252,0.272,0.066,1,0.083,6.0,,1,11
C11253,0.044,0.016,2,0.076,,,11,98
C11254,0.299,0.058,2,0.034,,,1,4
C11255,0.17,0.036,1,0.118,8.0,4.7,2,49
C11256,0.125,0.107,1,0.101,8.0,4.1,3,35
C11257,0.32,0.087,2,0.027,,3.9,3,69
C11258,0.208,0.059,1,0.066,,4.3,3,32
C11259,0.218,0.046,0,0.012,6.0,,3,31
C11260,0.086,0.024,0,0.323,3.0,3.4,4,172
C11261,0.258,0.107,2,0.092,6.0,3.4,0,26
C11262,0.228,0.075,0,0.032,7.0,3.9,2,49
C11263,0.371,0.065,2,0.0,7.0,5.0,5,52
C11264,0.218,0.0,0,0.089,,5.0,5,28
C11265,0.087,0.022,1,0.102,6.0,4.2,0,90
C11266,0.159,0.032,5,0.031,,3.9,3,25
C11267,0.023,0.027,2,0.054,,4.1,10,129
C11268,0.09,0.035,1,0.135,3.0,3.4,7,103
C11269,0.064,0.017,5,0.08,,1.9,4,356
C11270,0.445,0.046,0,0.053,8.0,4.2,5,80
C11271,0.258,0.025,3,0.038,7.0,4.6,4,9
C11272,0.215,0.064,0,0.128,10.0,4.6,1,17
C11273,0.061,0.056,1,0.111,,4.0,5,6
C11274,0.216,0.066,1,0.141,8.0,3.5,3,37
C11275,0.3,0.07,0,0.087,5.0,,3,3
C11276,0.256,0.041,1,0.0,10.0,4.0,0,16
C11277,0.245,0.015,0,0.08,6.0,,1,21
C11278,0.184,0.031,2,0.018,8.0,3.1,5,77
C11279,0.485,0.066,1,0.098,7.0,4.3,5,22
C11280,0.337,0.08,2,0.0,6.0,4.3,0,47
C11281,0.155,0.024,3,0.222,0.0,2.2,3,97
C11282,0.048,0.012,1,0.044,,,4,112
C11283,0.116,0.011,1,0.076,,,8,91
C11284,0.148,0.016,0,0.18,0.0,,4,281
C11285,0.087,0.016,1,0.092,,3.1,11,241
C11286,0.054,0.009,3,0.216,,,10,117
C11287,0.25,0.063,0,0.0,6.0,5.0,5,10
C11288,0.211,0.089,1,0.067,,5.0,0,85
C11289,0.181,0.053,2,0.0,7.0,4.1,0,58
C11290,0.231,0.078,1,0.051,9.0,3.7,1,15
C11291,0.051,0.036,2,0.24,5.0,3.0,3,112
C11292,0.11,0.016,0,0.163,3.0,1.8,6,179
C11293,0.231,0.092,1,0.07,,,3,8
C11294,0.0,0.031,1,0.246,,2.7,7,105
C11295,0.214,0.086,2,0.092,8.0,5.0,3,14
C11296,0.143,0.025,0,0.104,5.0,2.9,3,110
C11297,0.299,0.024,3,0.115,8.0,4.3,0,33
C11298,0.346,0.075,2,0.008,,4.1,0,49
C11299,0.257,0.056,2,0.126,,4.6,2,4
C11300,0.174,0.057,0,0.08,4.0,4.2,0,31
C11301,0.293,0.047,0,0.109,,4.3,2,8
C11302,0.03,0.025,0,0.153,,3.5,3,195
C11303,0.318,0.024,0,0.028,10.0,3.1,1,54
C11304,0.167,0.076,0,0.095,8.0,3.8,0,25
C11305,0.163,0.031,0,0.134,7.0,3.4,1,37
C11306,0.184,0.028,0,0.053,5.0,4.9,0,0
C11307,0.086,0.031,0,0.226,,3.0,11,123
C11308,0.192,0.04,0,0.0,6.0,,4,30
C11309,0.158,0.033,2,0.025,9.0,,0,36
C11310,0.224,0.112,2,0.116,7.0,4.3,4,41
C11311,0.082,0.027,2,0.119,5.0,3.7,10,146
C11312,0.0,0.005,2,0.031,2.0,,10,229
C11313,0.103,0.075,1,0.138,8.0,4.0,5,63
C11314,0.234,0.066,0,0.061,7.0,3.8,3,50
C11315,0.156,0.05,2,0.125,,,6,144
C11316,0.064,0.045,1,0.187,8.0,,2,145
C11317,0.274,0.067,2,0.072,7.0,4.5,2,40
C11318,0.202,0.065,1,0.068,,4.7,1,80
C11319,0.311,0.051,1,0.036,7.0,3.8,5,48
C11320,0.161,0.0,0,0.056,8.0,4.3,5,10
C11321,0.358,0.041,2,0.106,7.0,,5,33
C11322,0.202,0.0,0,0.067,7.0,4.4,0,79
C11323,0.234,0.015,0,0.047,8.0,,3,36
C11324,0.157,0.059,1,0.137,7.0,4.2,0,10
C11325,0.143,0.083,2,0.07,,5.0,1,2
C11326,0.291,0.111,0,0.075,9.0,4.3,2,21
C11327,0.317,0.06,0,0.076,,4.0,0,80
C11328,0.268,0.034,1,0.094,8.0,4.5,4,90
C11329,0.12,0.032,0,0.147,7.0,2.4,11,104
C11330,0.264,0.071,1,0.133,8.0,4.4,3,39
C11331,0.149,0.037,0,0.043,8.0,4.5,1,50
C11332,0.233,0.088,0,0.017,,4.8,2,66
C11333,0.206,0.023,3,0.207,,3.4,7,91
C11334,0.199,0.128,2,0.064,8.0,5.0,5,13
C11335,0.23,0.042,1,0.022,,4.9,3,53
C11336,0.084,0.045,2,0.076,,3.4,5,157
C11337,0.255,0.093,1,0.052,,3.5,0,3
C11338,0.243,0.041,0,0.091,5.0,,0,89
C11339,0.16,0.057,1,0.013,6.0,3.8,4,29
C11340,0.253,0.058,2,0.03,6.0,3.8,1,5
C11341,0.265,0.045,0,0.041,7.0,4.5,3,20
C11342,0.347,0.055,0,0.05,8.0,5.0,2,44
C11343,0.182,0.03,0,0.067,6.0,3.9,1,7
C11344,0.194,0.0,4,0.083,5.0,4.4,5,20
C11345,0.339,0.052,0,0.079,8.0,3.9,1,64
C11346,0.385,0.011,2,0.045,7.0,3.8,2,71
C11347,0.085,0.024,4,0.266,,2.7,11,289
C11348,0.224,0.082,0,0.076,,4.2,4,9
C11349,0.071,0.006,0,0.236,2.0,3.3,4,177
C11350,0.064,0.023,2,0.116,,2.7,6,156
C11351,0.187,0.015,2,0.108,6.0,4.6,5,28
C11352,0.116,0.041,1,0.029,5.0,,5,40
C11353,0.135,0.0,0,0.08,,,0,54
C11354,0.05,0.042,0,0.12,,5.0,0,40
C11355,0.044,0.023,3,0.117,,,2,155
C11356,0.255,0.132,1,0.102,8.0,5.0,0,28
C11357,0.264,0.046,1,0.1,10.0,4.3,5,18
C11358,0.171,0.099,1,0.109,5.0,4.0,4,2
C11359,0.212,0.051,1,0.137,7.0,4.1,3,21
C11360,0.047,0.007,1,0.17,,2.5,5,101
C11361,0.239,0.043,0,0.047,7.0,3.3,4,5
C11362,0.224,0.063,0,0.057,7.0,3.6,1,37
C11363,0.054,0.094,0,0.136,,4.6,3,0
C11364,0.289,0.027,1,0.11,,4.1,5,0
C11365,0.152,0.033,5,0.119,7.0,4.9,1,68
C11366,0.313,0.027,0,0.061,,3.5,5,32
C11367,0.246,0.102,0,0.093,10.0,5.0,3,67
C11368,0.186,0.087,0,0.051,8.0,3.5,4,0
C11369,0.207,0.033,2,0.094,9.0,3.9,0,42
C11370,0.267,0.026,5,0.101,9.0,4.3,0,15
C11371,0.094,0.055,1,0.038,,3.4,1,9
C11372,0.166,0.011,1,0.029,4.0,,2,115
C11373,0.006,0.033,0,0.185,6.0,4.4,2,10
C11374,0.123,0.039,3,0.035,4.0,,4,154
C11375,0.186,0.03,1,0.059,8.0,4.3,3,20
C11376,0.234,0.069,0,0.041,8.0,4.5,2,33
C11377,0.303,0.033,1,0.068,8.0,4.6,3,8
C11378,0.023,0.02,2,0.139,,,4,114
C11379,0.358,0.007,1,0.039,7.0,3.6,5,66
C11380,0.196,0.051,2,0.046,7.0,3.4,1,48
C11381,0.287,0.05,1,0.034,6.0,4.1,1,58
C11382,0.171,0.019,0,0.165,7.0,3.9,2,59
C11383,0.229,0.126,0,0.019,10.0,5.0,2,3
C11384,0.115,0.052,1,0.102,8.0,3.9,4,56
C11385,0.084,0.024,1,0.24,2.0,2.1,5,184
C11386,0.113,0.048,0,0.02,10.0,3.7,2,2
C11387,0.256,0.06,0,0.127,7.0,4.1,5,6
C11388,0.104,0.049,0,0.092,7.0,4.5,4,44
C11389,0.336,0.033,1,0.098,6.0,3.8,4,36
C11390,0.093,0.007,4,0.162,4.0,2.5,7,252
C11391,0.0,0.013,0,0.204,,2.8,2,183
C11392,0.099,0.027,1,0.11,3.0,2.3,11,365
C11393,0.406,0.04,0,0.039,7.0,,2,78
C11394,0.0,0.021,0,0.222,3.0,,10,324
C11395,0.065,0.043,1,0.217,,,11,305
C11396,0.153,0.0,1,0.154,,2.1,6,108
C11397,0.225,0.016,0,0.035,,4.1,2,3
C11398,0.207,0.043,0,0.097,7.0,3.8,0,36
C11399,0.202,0.046,0,0.09,,3.5,0,40
C11400,0.105,0.115,1,0.102,,4.9,2,50
C11401,0.305,0.062,0,0.094,,4.9,3,39
C11402,0.206,0.098,1,0.077,9.0,,4,52
C11403,0.235,0.04,4,0.138,,4.8,0,25
C11404,0.121,0.099,5,0.016,,3.7,3,54
C11405,0.264,0.079,1,0.059,6.0,,0,47
C11406,0.15,0.024,4,0.0,,,9,162
C11407,0.037,0.036,1,0.24,4.0,,8,116
C11408,0.16,0.029,2,0.451,,2.5,7,217
C11409,0.318,0.079,0,0.152,8.0,3.8,5,8
C11410,0.263,0.071,2,0.017,6.0,,5,70
C11411,0.038,0.038,3,0.069,,,4,117
C11412,0.292,0.048,0,0.014,,4.1,0,4
C11413,0.258,0.089,0,0.108,9.0,4.0,1,8
C11414,0.232,0.039,0,0.094,8.0,3.7,0,43
C11415,0.149,0.064,2,0.172,,5.0,4,44
C11416,0.103,0.053,1,0.1,10.0,3.4,4,29
C11417,0.082,0.023,0,0.101,8.0,4.7,1,87
C11418,0.135,0.091,2,0.122,6.0,4.7,5,36
C11419,0.233,0.11,0,0.138,6.0,3.8,2,71
C11420,0.157,0.054,2,0.014,5.0,4.7,1,75
C11421,0.139,0.0,0,0.204,,,5,127
C11422,0.16,0.101,1,0.02,,,3,71
C11423,0.163,0.019,0,0.162,3.0,,4,42
C11424,0.235,0.086,2,0.094,10.0,4.0,4,82
C11425,0.067,0.025,1,0.09,2.0,3.0,5,138
C11426,0.356,0.005,1,0.11,9.0,4.9,5,3
C11427,0.153,0.094,2,0.132,8.0,3.5,4,24
C11428,0.256,0.045,2,0.102,,4.3,5,33
C11429,0.119,0.05,3,0.249,,1.4,6,118
C11430,0.177,0.056,0,0.117,7.0,4.2,1,68
C11431,0.048,0.037,2,0.01,4.0,,2,93
C11432,0.341,0.095,1,0.015,7.0,,4,51
C11433,0.222,0.082,2,0.12,7.0,,5,34
C11434,0.194,0.017,2,0.021,,,3,71
C11435,0.272,0.065,3,0.119,5.0,4.0,3,48
C11436,0.053,0.002,2,0.256,,,5,130
C11437,0.1,0.015,0,0.26,5.0,,3,247
C11438,0.033,0.015,1,0.155,2.0,2.8,9,119
C11439,0.237,0.061,1,0.043,,3.6,5,22
C11440,0.245,0.05,0,0.122,5.0,4.7,1,18
C11441,0.324,0.061,0,0.051,7.0,3.2,4,73
C11442,0.297,0.043,2,0.047,,4.5,3,11
C11443,0.092,0.0,4,0.09,,,2,170
C11444,0.058,0.016,1,0.212,2.0,2.0,7,143
C11445,0.106,0.028,2,0.181,,,7,199
C11446,0.239,0.053,0,0.122,6.0,4.9,3,22
C11447,0.109,0.0,5,0.164,,,6,109
C11448,0.355,0.101,1,0.114,9.0,5.0,3,82
C11449,0.12,0.0,4,0.202,6.0,4.2,11,172
C11450,0.162,0.0,5,0.315,,,5,95
C11451,0.046,0.039,0,0.191,,1.6,9,101
C11452,0.258,0.045,2,0.114,5.0,3.5,2,81
C11453,0.155,0.026,2,0.167,,4.2,4,98
C11454,0.136,0.066,0,0.026,6.0,,1,2
C11455,0.288,0.029,2,0.051,,4.5,0,46
C11456,0.245,0.058,3,0.043,10.0,,1,70
C11457,0.137,0.038,0,0.14,,4.8,2,20
C11458,0.181,0.081,0,0.0,8.0,3.9,5,12
C11459,0.105,0.052,3,0.121,3.0,4.0,4,365
C11460,0.236,0.059,1,0.116,6.0,,1,35
C11461,0.035,0.0,1,0.0,4.0,2.6,2,219
C11462,0.287,0.08,0,0.082,6.0,4.4,0,38
C11463,0.161,0.008,0,0.237,,4.2,10,209
C11464,0.185,0.04,0,0.013,,4.0,1,8
C11465,0.293,0.037,4,0.102,5.0,5.0,4,18
C11466,0.123,0.113,0,0.034,7.0,4.9,5,16
C11467,0.124,0.016,0,0.164,2.0,,2,121
C11468,0.113,0.053,0,0.106,7.0,,1,14
C11469,0.234,0.038,1,0.143,8.0,3.6,5,25
C11470,0.167,0.0,0,0.076,,4.5,3,48
C11471,0.184,0.073,0,0.142,7.0,3.8,2,75
C11472,0.053,0.008,3,0.072,,,3,249
C11473,0.381,0.112,0,0.047,6.0,4.4,3,61
C11474,0.214,0.025,3,0.13,9.0,2.8,5,12
C11475,0.172,0.084,2,0.097,6.0,4.3,4,75
C11476,0.108,0.037,2,0.196,,,9,215
C11477,0.273,0.03,1,0.124,5.0,3.8,1,17
C11478,0.069,0.036,4,0.193,,3.3,9,352
C11479,0.067,0.016,3,0.088,,4.4,4,97
C11480,0.289,0.074,0,0.05,,3.7,0,21
C11481,0.232,0.04,2,0.062,,2.8,2,26
C11482,0.072,0.031,2,0.123,4.0,,3,346
C11483,0.184,0.043,0,0.098,7.0,4.1,2,35
C11484,0.359,0.066,1,0.184,6.0,4.7,2,29
C11485,0.206,0.052,0,0.012,6.0,3.8,3,2
C11486,0.074,0.0,4,0.002,,,8,286
C11487,0.11,0.029,4,0.223,5.0,,6,157
C11488,0.079,0.093,2,0.186,8.0,4.5,4,23
C11489,0.115,0.0,1,0.128,6.0,2.4,4,199
C11490,0.315,0.082,0,0.142,8.0,3.8,1,4
C11491,0.19,0.06,0,0.019,4.0,3.8,3,49
C11492,0.113,0.076,2,0.189,7.0,4.1,5,22
C11493,0.093,0.036,0,0.262,5.0,4.5,10,102
C11494,0.101,0.026,0,0.074,,3.4,3,123
C11495,0.094,0.022,2,0.093,2.0,2.5,11,117
C11496,0.175,0.058,1,0.094,5.0,3.1,1,40
C11497,0.364,0.05,4,0.067,8.0,4.6,3,52
C11498,0.093,0.016,2,0.258,,1.6,6,238
C11499,0.176,0.047,1,0.049,,3.8,5,52
C11500,0.061,0.007,1,0.126,,,8,95
C11501,0.237,0.054,2,0.021,,,2,23
C11502,0.201,0.064,0,0.031,6.0,4.1,3,21
C11503,0.289,0.026,2,0.046,,3.2,4,77
C11504,0.073,0.016,1,0.061,,,9,214
C11505,0.07,0.012,3,0.077,6.0,,7,118
C11506,0.121,0.057,1,0.147,6.0,4.0,0,41
C11507,0.116,0.013,2,0.139,,4.2,11,263
C11508,0.166,0.098,0,0.011,9.0,3.4,1,19
C11509,0.239,0.098,1,0.121,,4.3,4,70
C11510,0.316,0.089,0,0.053,6.0,4.3,3,19
C11511,0.168,0.05,5,0.095,6.0,4.2,4,46
C11512,0.041,0.023,2,0.294,6.0,,6,129
C11513,0.407,0.106,1,0.07,,4.7,0,7
C11514,0.15,0.026,1,0.019,5.0,4.5,1,6
C11515,0.302,0.096,0,0.0,4.0,,5,50
C11516,0.26,0.078,1,0.073,5.0,4.3,3,9
C11517,0.231,0.018,2,0.08,6.0,4.1,3,75
C11518,0.071,0.079,1,0.06,7.0,4.0,4,55
C11519,0.282,0.043,2,0.074,,3.6,3,10
C11520,0.162,0.055,3,0.0,10.0,,0,32
C11521,0.055,0.023,5,0.157,,3.4,8,365
C11522,0.212,0.033,0,0.048,8.0,4.7,4,11
C11523,0.184,0.054,0,0.031,3.0,3.5,5,2
C11524,0.145,0.079,0,0.038,8.0,3.9,1,66
C11525,0.291,0.101,1,0.021,,4.2,4,76
C11526,0.107,0.071,1,0.065,7.0,3.8,0,85
C11527,0.382,0.0,0,0.12,5.0,,5,18
C11528,0.199,0.077,4,0.049,3.0,4.4,1,3
C11529,0.054,0.037,1,0.08,3.0,2.7,8,131
C11530,0.051,0.021,2,0.155,3.0,3.6,4,116
C11531,0.061,0.012,1,0.104,,,9,95
C11532,0.256,0.037,0,0.068,8.0,4.7,3,9
C11533,0.165,0.047,1,0.042,4.0,3.8,5,61
C11534,0.297,0.014,4,0.032,8.0,4.3,2,54
C11535,0.104,0.016,0,0.0,1.0,,3,136
C11536,0.0,0.005,0,0.376,4.0,3.0,3,168
C11537,0.308,0.043,2,0.07,6.0,3.4,5,32
C11538,0.136,0.0,1,0.086,7.0,3.5,4,39
C11539,0.085,0.033,1,0.071,3.0,,2,222
C11540,0.154,0.056,1,0.0,6.0,4.0,5,57
C11541,0.084,0.021,2,0.069,2.0,,11,114
C11542,0.27,0.064,0,0.013,8.0,,1,59
C11543,0.067,0.03,2,0.28,6.0,3.8,9,221
C11544,0.115,0.094,3,0.0,7.0,3.7,0,15
C11545,0.063,0.014,2,0.239,5.0,,7,228
C11546,0.146,0.04,1,0.114,7.0,4.0,1,14
C11547,0.379,0.053,5,0.035,8.0,4.0,4,7
C11548,0.261,0.06,3,0.092,,4.1,3,50
C11549,0.162,0.081,0,0.044,8.0,3.3,0,39
C11550,0.207,0.032,0,0.058,7.0,3.5,0,2
C11551,0.02,0.024,1,0.134,9.0,3.7,0,37
C11552,0.111,0.029,0,0.0,5.0,4.2,1,79
C11553,0.245,0.022,0,0.035,10.0,4.5,3,75
C11554,0.099,0.034,2,0.324,,1.5,4,207
C11555,0.221,0.055,1,0.053,5.0,4.0,0,7
C11556,0.07,0.033,0,0.151,2.0,,7,142
C11557,0.233,0.081,1,0.083,,5.0,3,14
C11558,0.255,0.052,0,0.056,8.0,4.5,2,86
C11559,0.105,0.011,0,0.138,1.0,,6,236
C11560,0.114,0.006,1,0.29,5.0,3.1,2,106
C11561,0.271,0.043,5,0.05,7.0,4.1,4,77
C11562,0.228,0.0,2,0.11,8.0,5.0,4,32
C11563,0.031,0.01,3,0.131,3.0,,7,153
C11564,0.267,0.0,0,0.0,8.0,5.0,1,33
C11565,0.282,0.048,1,0.029,,4.3,2,17
C11566,0.163,0.06,0,0.048,8.0,4.0,0,10
C11567,0.28,0.039,4,0.048,7.0,5.0,1,67
C11568,0.073,0.007,2,0.1,3.0,3.2,4,109
C11569,0.019,0.029,1,0.183,9.0,3.9,2,74
C11570,0.054,0.085,2,0.033,5.0,3.9,1,16
C11571,0.242,0.074,0,0.042,,4.1,3,56
C11572,0.255,0.041,0,0.19,,,3,65
C11573,0.0,0.042,2,0.258,2.0,3.2,11,97
C11574,0.349,0.029,0,0.0,,4.5,4,84
C11575,0.051,0.029,2,0.033,2.0,3.1,3,365
C11576,0.0,0.0,2,0.169,1.0,2.3,10,96
C11577,0.113,0.019,1,0.19,,1.6,11,288
C11578,0.07,0.087,1,0.014,7.0,3.4,5,85
C11579,0.066,0.026,2,0.226,7.0,3.5,9,258
C11580,0.223,0.046,0,0.066,,4.8,4,3
C11581,0.114,0.013,0,0.152,7.0,4.4,4,3
C11582,0.189,0.133,3,0.048,,3.3,2,19
C11583,0.236,0.039,5,0.062,8.0,3.6,2,0
C11584,0.234,0.061,3,0.088,6.0,5.0,4,19
C11585,0.192,0.004,3,0.216,4.0,4.7,4,94
C11586,0.095,0.075,2,0.037,7.0,4.5,0,39
C11587,0.263,0.03,2,0.042,6.0,,4,32
C11588,0.223,0.026,2,0.011,8.0,4.8,5,6
C11589,0.265,0.022,2,0.005,8.0,3.7,2,7
C11590,0.156,0.023,2,0.343,4.0,3.7,3,148
C11591,0.141,0.068,1,0.09,6.0,4.1,2,60
C11592,0.319,0.075,1,0.118,7.0,4.2,5,26
C11593,0.037,0.026,2,0.122,5.0,2.2,2,293
C11594,0.249,0.084,4,0.071,7.0,4.7,0,1
C11595,0.031,0.01,0,0.279,,,11,309
C11596,0.117,0.053,4,0.179,6.0,3.8,2,107
C11597,0.324,0.066,1,0.0,7.0,,5,42
C11598,0.456,0.015,1,0.085,5.0,,0,42
C11599,0.117,0.054,0,0.039,,4.1,2,65
C11600,0.26,0.081,2,0.006,,,2,34
C11601,0.339,0.086,3,0.059,4.0,4.2,4,59
C11602,0.257,0.115,2,0.042,7.0,4.5,0,78
C11603,0.09,0.023,1,0.036,3.0,3.1,3,198
C11604,0.324,0.08,0,0.111,6.0,3.2,2,57
C11605,0.153,0.001,0,0.098,5.0,,9,97
C11606,0.062,0.005,2,0.12,,2.9,3,126
C11607,0.088,0.084,2,0.088,8.0,5.0,2,6
C11608,0.316,0.075,0,0.067,6.0,3.7,2,9
C11609,0.134,0.074,0,0.06,8.0,4.5,0,2
C11610,0.262,0.1,1,0.084,7.0,3.8,0,33
C11611,0.18,0.05,0,0.058,3.0,4.9,2,57
C11612,0.295,0.064,2,0.009,9.0,4.2,0,15
C11613,0.238,0.102,0,0.0,9.0,4.0,3,72
C11614,0.286,0.033,0,0.143,6.0,4.0,5,86
C11615,0.17,0.052,0,0.009,,,4,83
C11616,0.123,0.043,0,0.318,5.0,4.4,5,236
C11617,0.331,0.04,2,0.055,6.0,4.2,0,60
C11618,0.231,0.0,0,0.083,9.0,4.2,5,16
C11619,0.153,0.02,3,0.064,7.0,4.2,2,48
C11620,0.138,0.031,3,0.214,,,9,120
C11621,0.261,0.023,2,0.0,6.0,,2,32
C11622,0.184,0.079,1,0.045,,3.6,4,64
C11623,0.221,0.032,0,0.0,7.0,4.9,0,89
C11624,0.067,0.017,0,0.201,5.0,,11,106
C11625,0.024,0.037,3,0.126,,,3,95
C11626,0.187,0.087,1,0.086,9.0,,1,11
C11627,0.062,0.007,1,0.224,2.0,3.4,7,365
C11628,0.338,0.139,1,0.066,6.0,3.7,4,59
C11629,0.109,0.038,5,0.039,,,5,134
C11630,0.111,0.023,0,0.259,,,8,120
C11631,0.238,0.035,2,0.11,7.0,4.5,0,27
C11632,0.098,0.072,1,0.051,8.0,4.3,2,2
C11633,0.214,0.083,1,0.01,9.0,4.0,0,7
C11634,0.206,0.046,1,0.013,,4.0,0,23
C11635,0.185,0.071,0,0.056,,,0,34
C11636,0.255,0.0,2,0.098,7.0,3.5,5,44
C11637,0.405,0.06,0,0.07,,5.0,1,66
C11638,0.171,0.056,0,0.005,8.0,,0,17
C11639,0.151,0.035,1,0.045,9.0,4.3,1,25
C11640,0.113,0.0,1,0.237,,,9,262
C11641,0.186,0.068,0,0.095,,3.6,5,48
C11642,0.242,0.069,0,0.087,6.0,,4,6
C11643,0.254,0.079,0,0.048,10.0,4.0,3,51
C11644,0.0,0.03,2,0.157,,2.4,11,178
C11645,0.291,0.104,2,0.055,8.0,4.7,0,2
C11646,0.066,0.025,3,0.285,,3.3,2,119
C11647,0.116,0.022,1,0.189,6.0,2.9,3,174
C11648,0.104,0.015,3,0.113,,4.0,5,276
C11649,0.064,0.027,2,0.064,,,9,123
C11650,0.176,0.038,0,0.022,5.0,3.7,2,41
C11651,0.112,0.037,2,0.166,,1.7,10,259
C11652,0.232,0.064,3,0.0,,3.3,1,72
C11653,0.114,0.021,1,0.063,,,2,146
C11654,0.048,0.017,1,0.178,5.0,1.8,4,118
C11655,0.083,0.033,1,0.061,8.0,5.0,3,33
C11656,0.18,0.076,0,0.09,6.0,4.7,2,43
C11657,0.245,0.055,1,0.056,7.0,4.7,5,14
C11658,0.339,0.077,0,0.055,6.0,3.8,4,39
C11659,0.187,0.085,2,0.124,6.0,3.8,0,62
C11660,0.222,0.053,0,0.038,5.0,4.0,2,5
C11661,0.132,0.045,4,0.041,7.0,3.1,5,69
C11662,0.121,0.05,1,0.221,,,9,108
C11663,0.157,0.012,2,0.064,,,11,108
C11664,0.196,0.035,1,0.022,9.0,4.8,1,12
C11665,0.305,0.06,4,0.058,,3.6,5,89
C11666,0.244,0.076,3,0.08,9.0,4.8,1,28
C11667,0.06,0.03,0,0.018,,4.6,2,135
C11668,0.159,0.101,0,0.124,8.0,4.0,0,25
C11669,0.227,0.105,2,0.044,,4.0,1,46
C11670,0.152,0.052,0,0.087,7.0,4.6,4,32
C11671,0.251,0.032,0,0.071,5.0,3.8,2,40
C11672,0.238,0.031,4,0.112,7.0,2.7,5,74
C11673,0.135,0.03,1,0.107,,3.1,4,224
C11674,0.1,0.0,3,0.434,5.0,4.9,8,186
C11675,0.153,0.055,1,0.115,5.0,3.6,1,43
C11676,0.235,0.109,1,0.088,8.0,4.2,0,22
C11677,0.268,0.0,1,0.018,6.0,4.2,5,21
C11678,0.295,0.016,0,0.098,,,2,35
C11679,0.185,0.082,3,0.162,7.0,5.0,0,64
C11680,0.241,0.074,0,0.091,,4.9,1,75
C11681,0.374,0.082,2,0.014,7.0,3.2,0,71
C11682,0.256,0.074,1,0.0,7.0,2.6,3,12
C11683,0.158,0.036,0,0.126,1.0,,3,120
C11684,0.23,0.051,0,0.096,7.0,4.2,1,24
C11685,0.211,0.109,4,0.065,9.0,3.0,3,8
C11686,0.0,0.033,3,0.134,,1.0,6,278
C11687,0.197,0.063,1,0.016,,3.6,2,57
C11688,0.143,0.043,3,0.099,6.0,5.0,1,52
C11689,0.276,0.048,1,0.092,,2.9,5,40
C11690,0.071,0.046,2,0.049,7.0,5.0,2,2
C11691,0.197,0.031,0,0.147,5.0,4.7,3,11
C11692,0.207,0.087,0,0.0,7.0,3.7,5,19
C11693,0.166,0.023,2,0.238,1.0,2.7,6,196
C11694,0.304,0.067,1,0.047,7.0,3.8,2,51
C11695,0.131,0.035,0,0.029,5.0,4.8,0,85
C11696,0.097,0.025,2,0.309,,,2,96
C11697,0.043,0.074,2,0.054,,5.0,4,16
C11698,0.396,0.006,0,0.0,7.0,4.4,3,42
C11699,0.0,0.034,2,0.334,0.0,2.3,4,133
C11700,0.227,0.064,0,0.042,9.0,4.2,5,10
C11701,0.209,0.066,3,0.115,8.0,4.3,1,7
C11702,0.324,0.013,1,0.153,,4.4,3,1
C11703,0.214,0.006,0,0.164,6.0,3.5,5,11
C11704,0.08,0.007,0,0.15,,,2,97
C11705,0.267,0.049,3,0.109,,4.4,5,43
C11706,0.177,0.116,1,0.067,8.0,3.4,5,9
C11707,0.147,0.095,0,0.077,5.0,4.0,1,87
C11708,0.126,0.023,1,0.056,,,6,117
C11709,0.109,0.03,0,0.077,,,2,120
C11710,0.175,0.0,0,0.135,7.0,,5,35
C11711,0.261,0.071,1,0.105,6.0,4.6,2,74
C11712,0.24,0.0,1,0.064,,,2,30
C11713,0.207,0.067,4,0.0,8.0,,0,27
C11714,0.161,0.055,0,0.144,,4.1,0,0
